filename,binary_name,primary_path,categories,mitre_ids,risk,description
readelf,readelf,/usr/bin/readelf,file-read,T1005,low,GTFOBins: readelf can be used for file-read
red,red,/usr/bin/red,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: red can be used for file-read; file-write; shell
redcarpet,redcarpet,/usr/bin/redcarpet,file-read,T1005,low,GTFOBins: redcarpet can be used for file-read
redis,redis,/usr/bin/redis,file-write,T1565.001,medium,GTFOBins: redis can be used for file-write
restic,restic,/usr/bin/restic,command|shell|upload,T1048|T1059,medium,GTFOBins: restic can be used for command; shell; upload
rev,rev,/usr/bin/rev,file-read,T1005,low,GTFOBins: rev can be used for file-read
rlogin,rlogin,/usr/bin/rlogin,upload,T1048,medium,GTFOBins: rlogin can be used for upload
rlwrap,rlwrap,/usr/bin/rlwrap,file-write|shell,T1059|T1565.001,medium,GTFOBins: rlwrap can be used for file-write; shell
rpm,rpm,/usr/bin/rpm,command|inherit|shell,T1059,medium,GTFOBins: rpm can be used for command; inherit; shell
rpmdb,rpmdb,/usr/bin/rpmdb,inherit|shell,T1059,medium,GTFOBins: rpmdb can be used for inherit; shell
rpmquery,rpmquery,/usr/bin/rpmquery,inherit|shell,T1059,medium,GTFOBins: rpmquery can be used for inherit; shell
rpmverify,rpmverify,/usr/bin/rpmverify,inherit|shell,T1059,medium,GTFOBins: rpmverify can be used for inherit; shell
rsync,rsync,/usr/bin/rsync,shell,T1059,medium,GTFOBins: rsync can be used for shell
rsyslogd,rsyslogd,/usr/bin/rsyslogd,command,T1059,medium,GTFOBins: rsyslogd can be used for command
rtorrent,rtorrent,/usr/bin/rtorrent,shell,T1059,medium,GTFOBins: rtorrent can be used for shell
ruby,ruby,/usr/bin/ruby,download|file-read|file-write|library-load|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001|T1574.006,high,GTFOBins: ruby can be used for download; file-read; file-write; library-load; reverse-shell; shell; upload
run-mailcap,run-mailcap,/usr/bin/run-mailcap,inherit,T1059,medium,GTFOBins: run-mailcap can be used for inherit
run-parts,run-parts,/usr/bin/run-parts,shell,T1059,medium,GTFOBins: run-parts can be used for shell
runscript,runscript,/usr/bin/runscript,shell,T1059,medium,GTFOBins: runscript can be used for shell
rustc,rustc,/usr/bin/rustc,file-read|file-write|inherit,T1005|T1059|T1565.001,medium,GTFOBins: rustc can be used for file-read; file-write; inherit
rustdoc,rustdoc,/usr/bin/rustdoc,file-read|file-write,T1005|T1565.001,medium,GTFOBins: rustdoc can be used for file-read; file-write
rustfmt,rustfmt,/usr/bin/rustfmt,file-read,T1005,low,GTFOBins: rustfmt can be used for file-read
rustup,rustup,/usr/bin/rustup,command|shell,T1059,medium,GTFOBins: rustup can be used for command; shell
